operator_id,operator_name,experience_level,department
201,Amit Sharma,Junior,Machining
202,Rahul Verma,Junior,Machining
203,Sandeep Kumar,Mid-Level,Machining
204,Vikas Singh,Mid-Level,Machining
205,Rohit Yadav,Senior,Machining
206,Manoj Gupta,Senior,Machining
207,Deepak Chauhan,Junior,Machining
208,Anil Mehta,Mid-Level,Machining
209,Prakash Joshi,Senior,Machining
210,Nitin Raj,Junior,Machining
211,Arjun Patel,Mid-Level,Machining
212,Karan Malhotra,Senior,Machining
213,Sunil Rana,Junior,Machining
214,Rakesh Tiwari,Mid-Level,Machining
215,Mohit Arora,Senior,Machining
216,Vivek Das,Junior,Machining
217,Gaurav Nair,Mid-Level,Machining
218,Harish Pillai,Senior,Machining
219,Sachin Pawar,Junior,Machining
220,Lokesh Bansal,Mid-Level,Machining
